ccp,cr,avg_val,rev,exp,pro,ROI
0.8,0.007,136.5,716.62,600,116.62,0.19
0.8,0.008,126.5,759.0,600,159.0,0.27
0.8,0.008,136.5,819.0,600,219.0,0.36
0.8,0.009,126.5,853.87,600,253.87,0.42
0.8,0.009,136.5,921.37,600,321.37,0.54
0.8,0.01,126.5,948.75,600,348.75,0.58
0.8,0.01,136.5,1023.75,600,423.75,0.71
0.8,0.011,126.5,1043.62,600,443.62,0.74
0.8,0.011,136.5,1126.12,600,526.12,0.88
0.8,0.012,126.5,1138.5,600,538.5,0.9
0.8,0.012,136.5,1228.5,600,628.5,1.05
0.8,0.013,126.5,1233.38,600,633.38,1.06
0.8,0.013,136.5,1330.88,600,730.88,1.22
0.8,0.014,126.5,1328.25,600,728.25,1.21
0.8,0.014,136.5,1433.25,600,833.25,1.39
0.81,0.004,126.5,374.81,600,-225.19,-0.38
0.81,0.004,136.5,404.44,600,-195.56,-0.33
0.81,0.005,126.5,468.52,600,-131.48,-0.22
0.81,0.005,136.5,505.56,600,-94.44,-0.16
0.81,0.006,126.5,562.22,600,-37.78,-0.06
0.81,0.006,136.5,606.67,600,6.67,0.01
0.81,0.007,126.5,655.93,600,55.93,0.09
0.81,0.007,136.5,707.78,600,107.78,0.18
0.81,0.008,126.5,749.63,600,149.63,0.25
0.81,0.008,136.5,808.89,600,208.89,0.35
0.81,0.009,126.5,843.33,600,243.33,0.41
0.81,0.009,136.5,910.0,600,310.0,0.52
0.81,0.01,126.5,937.04,600,337.04,0.56
0.81,0.01,136.5,1011.11,600,411.11,0.69
0.81,0.011,126.5,1030.74,600,430.74,0.72
0.81,0.011,136.5,1112.22,600,512.22,0.85
0.81,0.012,126.5,1124.44,600,524.44,0.87
0.81,0.012,136.5,1213.33,600,613.33,1.02
0.81,0.013,126.5,1218.15,600,618.15,1.03
0.81,0.013,136.5,1314.44,600,714.44,1.19
0.81,0.014,126.5,1311.85,600,711.85,1.19
0.81,0.014,136.5,1415.56,600,815.56,1.36
0.82,0.004,126.5,370.24,600,-229.76,-0.38
0.82,0.004,136.5,399.51,600,-200.49,-0.33
0.82,0.005,126.5,462.8,600,-137.2,-0.23
0.82,0.005,136.5,499.39,600,-100.61,-0.17
0.82,0.006,126.5,555.37,600,-44.63,-0.07
0.82,0.006,136.5,599.27,600,-0.73,-0.0
0.82,0.007,126.5,647.93,600,47.93,0.08
0.82,0.007,136.5,699.15,600,99.15,0.17
0.82,0.008,126.5,740.49,600,140.49,0.23
0.82,0.008,136.5,799.02,600,199.02,0.33
0.82,0.009,126.5,833.05,600,233.05,0.39
0.82,0.009,136.5,898.9,600,298.9,0.5
0.82,0.01,126.5,925.61,600,325.61,0.54
0.82,0.01,136.5,998.78,600,398.78,0.66
0.82,0.011,126.5,1018.17,600,418.17,0.7
0.82,0.011,136.5,1098.66,600,498.66,0.83
0.82,0.012,126.5,1110.73,600,510.73,0.85
0.82,0.012,136.5,1198.54,600,598.54,1.0
0.82,0.013,126.5,1203.29,600,603.29,1.01
0.82,0.013,136.5,1298.41,600,698.41,1.16
0.82,0.014,126.5,1295.85,600,695.85,1.16
0.82,0.014,136.5,1398.29,600,798.29,1.33
0.83,0.004,126.5,365.78,600,-234.22,-0.39
0.83,0.004,136.5,394.7,600,-205.3,-0.34
0.83,0.005,126.5,457.23,600,-142.77,-0.24
0.83,0.005,136.5,493.37,600,-106.63,-0.18
0.83,0.006,126.5,548.67,600,-51.33,-0.09
0.83,0.006,136.5,592.05,600,-7.95,-0.01
0.83,0.007,126.5,640.12,600,40.12,0.07
0.83,0.007,136.5,690.72,600,90.72,0.15
0.83,0.008,126.5,731.57,600,131.57,0.22
0.83,0.008,136.5,789.4,600,189.4,0.32
0.83,0.009,126.5,823.01,600,223.01,0.37
0.83,0.009,136.5,888.07,600,288.07,0.48
0.83,0.01,126.5,914.46,600,314.46,0.52
0.83,0.01,136.5,986.75,600,386.75,0.64
0.83,0.011,126.5,1005.9,600,405.9,0.68
0.83,0.011,136.5,1085.42,600,485.42,0.81
0.83,0.012,126.5,1097.35,600,497.35,0.83
0.83,0.012,136.5,1184.1,600,584.1,0.97
0.83,0.013,126.5,1188.8,600,588.8,0.98
0.83,0.013,136.5,1282.77,600,682.77,1.14
0.83,0.014,126.5,1280.24,600,680.24,1.13
0.83,0.014,136.5,1381.45,600,781.45,1.3
0.84,0.004,126.5,361.43,600,-238.57,-0.4
0.84,0.004,136.5,390.0,600,-210.0,-0.35
0.84,0.005,126.5,451.79,600,-148.21,-0.25
0.84,0.005,136.5,487.5,600,-112.5,-0.19
0.84,0.006,126.5,542.14,600,-57.86,-0.1
0.84,0.006,136.5,585.0,600,-15.0,-0.03
0.84,0.007,126.5,632.5,600,32.5,0.05
0.84,0.007,136.5,682.5,600,82.5,0.14
0.84,0.008,126.5,722.86,600,122.86,0.2
0.84,0.008,136.5,780.0,600,180.0,0.3
0.84,0.009,126.5,813.21,600,213.21,0.36
0.84,0.009,136.5,877.5,600,277.5,0.46
0.84,0.01,126.5,903.57,600,303.57,0.51
0.84,0.01,136.5,975.0,600,375.0,0.62
0.84,0.011,126.5,993.93,600,393.93,0.66
0.84,0.011,136.5,1072.5,600,472.5,0.79
0.84,0.012,126.5,1084.29,600,484.29,0.81
0.84,0.012,136.5,1170.0,600,570.0,0.95
0.84,0.013,126.5,1174.64,600,574.64,0.96
0.84,0.013,136.5,1267.5,600,667.5,1.11
0.84,0.014,126.5,1265.0,600,665.0,1.11
0.84,0.014,136.5,1365.0,600,765.0,1.27
0.85,0.004,126.5,357.18,600,-242.82,-0.4
0.85,0.004,136.5,385.41,600,-214.59,-0.36
0.85,0.005,126.5,446.47,600,-153.53,-0.26
0.85,0.005,136.5,481.76,600,-118.24,-0.2
0.85,0.006,126.5,535.76,600,-64.24,-0.11
0.85,0.006,136.5,578.12,600,-21.88,-0.04
0.85,0.007,126.5,625.06,600,25.06,0.04
0.85,0.007,136.5,674.47,600,74.47,0.12
0.85,0.008,126.5,714.35,600,114.35,0.19
0.85,0.008,136.5,770.82,600,170.82,0.28
0.85,0.009,126.5,803.65,600,203.65,0.34
0.85,0.009,136.5,867.18,600,267.18,0.45
0.85,0.01,126.5,892.94,600,292.94,0.49
0.85,0.01,136.5,963.53,600,363.53,0.61
0.85,0.011,126.5,982.24,600,382.24,0.64
0.85,0.011,136.5,1059.88,600,459.88,0.77
0.85,0.012,126.5,1071.53,600,471.53,0.79
0.85,0.012,136.5,1156.24,600,556.24,0.93
0.85,0.013,126.5,1160.82,600,560.82,0.93
0.85,0.013,136.5,1252.59,600,652.59,1.09
0.85,0.014,126.5,1250.12,600,650.12,1.08
0.85,0.014,136.5,1348.94,600,748.94,1.25
0.86,0.004,126.5,353.02,600,-246.98,-0.41
0.86,0.004,136.5,380.93,600,-219.07,-0.37
0.86,0.005,126.5,441.28,600,-158.72,-0.26
0.86,0.005,136.5,476.16,600,-123.84,-0.21
0.86,0.006,126.5,529.53,600,-70.47,-0.12
0.86,0.006,136.5,571.4,600,-28.6,-0.05
0.86,0.007,126.5,617.79,600,17.79,0.03
0.86,0.007,136.5,666.63,600,66.63,0.11
0.86,0.008,126.5,706.05,600,106.05,0.18
0.86,0.008,136.5,761.86,600,161.86,0.27
0.86,0.009,126.5,794.3,600,194.3,0.32
0.86,0.009,136.5,857.09,600,257.09,0.43
0.86,0.01,126.5,882.56,600,282.56,0.47
0.86,0.01,136.5,952.33,600,352.33,0.59
0.86,0.011,126.5,970.81,600,370.81,0.62
0.86,0.011,136.5,1047.56,600,447.56,0.75
0.86,0.012,126.5,1059.07,600,459.07,0.77
0.86,0.012,136.5,1142.79,600,542.79,0.9
0.86,0.013,126.5,1147.33,600,547.33,0.91
0.86,0.013,136.5,1238.02,600,638.02,1.06
0.86,0.014,126.5,1235.58,600,635.58,1.06
0.86,0.014,136.5,1333.26,600,733.26,1.22
0.87,0.004,126.5,348.97,600,-251.03,-0.42
0.87,0.004,136.5,376.55,600,-223.45,-0.37
0.87,0.005,126.5,436.21,600,-163.79,-0.27
0.87,0.005,136.5,470.69,600,-129.31,-0.22
0.87,0.006,126.5,523.45,600,-76.55,-0.13
0.87,0.006,136.5,564.83,600,-35.17,-0.06
0.87,0.007,126.5,610.69,600,10.69,0.02
0.87,0.007,136.5,658.97,600,58.97,0.1
0.87,0.008,126.5,697.93,600,97.93,0.16
0.87,0.008,136.5,753.1,600,153.1,0.26
0.87,0.009,126.5,785.17,600,185.17,0.31
0.87,0.009,136.5,847.24,600,247.24,0.41
0.87,0.01,126.5,872.41,600,272.41,0.45
0.87,0.01,136.5,941.38,600,341.38,0.57
0.87,0.011,126.5,959.66,600,359.66,0.6
0.87,0.011,136.5,1035.52,600,435.52,0.73
0.87,0.012,126.5,1046.9,600,446.9,0.74
0.87,0.012,136.5,1129.66,600,529.66,0.88
0.87,0.013,126.5,1134.14,600,534.14,0.89
0.87,0.013,136.5,1223.79,600,623.79,1.04
0.87,0.014,126.5,1221.38,600,621.38,1.04
0.87,0.014,136.5,1317.93,600,717.93,1.2
0.88,0.004,126.5,345.0,600,-255.0,-0.42
0.88,0.004,136.5,372.27,600,-227.73,-0.38
0.88,0.005,126.5,431.25,600,-168.75,-0.28
0.88,0.005,136.5,465.34,600,-134.66,-0.22
0.88,0.006,126.5,517.5,600,-82.5,-0.14
0.88,0.006,136.5,558.41,600,-41.59,-0.07
0.88,0.007,126.5,603.75,600,3.75,0.01
0.88,0.007,136.5,651.48,600,51.48,0.09
0.88,0.008,126.5,690.0,600,90.0,0.15
0.88,0.008,136.5,744.55,600,144.55,0.24
0.88,0.009,126.5,776.25,600,176.25,0.29
0.88,0.009,136.5,837.61,600,237.61,0.4
0.88,0.01,126.5,862.5,600,262.5,0.44
0.88,0.01,136.5,930.68,600,330.68,0.55
0.88,0.011,126.5,948.75,600,348.75,0.58
0.88,0.011,136.5,1023.75,600,423.75,0.71
0.88,0.012,126.5,1035.0,600,435.0,0.72
0.88,0.012,136.5,1116.82,600,516.82,0.86
0.88,0.013,126.5,1121.25,600,521.25,0.87
0.88,0.013,136.5,1209.89,600,609.89,1.02
0.88,0.014,126.5,1207.5,600,607.5,1.01
0.88,0.014,136.5,1302.95,600,702.95,1.17
0.89,0.004,126.5,341.12,600,-258.88,-0.43
0.89,0.004,136.5,368.09,600,-231.91,-0.39
0.89,0.005,126.5,426.4,600,-173.6,-0.29
0.89,0.005,136.5,460.11,600,-139.89,-0.23
0.89,0.006,126.5,511.69,600,-88.31,-0.15
0.89,0.006,136.5,552.13,600,-47.87,-0.08
0.89,0.007,126.5,596.97,600,-3.03,-0.01
0.89,0.007,136.5,644.16,600,44.16,0.07
0.89,0.008,126.5,682.25,600,82.25,0.14
0.89,0.008,136.5,736.18,600,136.18,0.23
0.89,0.009,126.5,767.53,600,167.53,0.28
0.89,0.009,136.5,828.2,600,228.2,0.38
0.89,0.01,126.5,852.81,600,252.81,0.42
0.89,0.01,136.5,920.22,600,320.22,0.53
0.89,0.011,126.5,938.09,600,338.09,0.56
0.89,0.011,136.5,1012.25,600,412.25,0.69
0.89,0.012,126.5,1023.37,600,423.37,0.71
0.89,0.012,136.5,1104.27,600,504.27,0.84
0.89,0.013,126.5,1108.65,600,508.65,0.85
0.89,0.013,136.5,1196.29,600,596.29,0.99
0.89,0.014,126.5,1193.93,600,593.93,0.99
0.89,0.014,136.5,1288.31,600,688.31,1.15
0.9,0.004,126.5,337.33,600,-262.67,-0.44
0.9,0.004,136.5,364.0,600,-236.0,-0.39
0.9,0.005,126.5,421.67,600,-178.33,-0.3
0.9,0.005,136.5,455.0,600,-145.0,-0.24
0.9,0.006,126.5,506.0,600,-94.0,-0.16
0.9,0.006,136.5,546.0,600,-54.0,-0.09
0.9,0.007,126.5,590.33,600,-9.67,-0.02
0.9,0.007,136.5,637.0,600,37.0,0.06
0.9,0.008,126.5,674.67,600,74.67,0.12
0.9,0.008,136.5,728.0,600,128.0,0.21
0.9,0.009,126.5,759.0,600,159.0,0.27
0.9,0.009,136.5,819.0,600,219.0,0.36
0.9,0.01,126.5,843.33,600,243.33,0.41
0.9,0.01,136.5,910.0,600,310.0,0.52
0.9,0.011,126.5,927.67,600,327.67,0.55
0.9,0.011,136.5,1001.0,600,401.0,0.67
0.9,0.012,126.5,1012.0,600,412.0,0.69
0.9,0.012,136.5,1092.0,600,492.0,0.82
0.9,0.013,126.5,1096.33,600,496.33,0.83
0.9,0.013,136.5,1183.0,600,583.0,0.97
0.9,0.014,126.5,1180.67,600,580.67,0.97
0.9,0.014,136.5,1274.0,600,674.0,1.12
0.91,0.004,126.5,333.63,600,-266.37,-0.44
0.91,0.004,136.5,360.0,600,-240.0,-0.4
0.91,0.005,126.5,417.03,600,-182.97,-0.3
0.91,0.005,136.5,450.0,600,-150.0,-0.25
0.91,0.006,126.5,500.44,600,-99.56,-0.17
0.91,0.006,136.5,540.0,600,-60.0,-0.1
0.91,0.007,126.5,583.85,600,-16.15,-0.03
0.91,0.007,136.5,630.0,600,30.0,0.05
0.91,0.008,126.5,667.25,600,67.25,0.11
0.91,0.008,136.5,720.0,600,120.0,0.2
0.91,0.009,126.5,750.66,600,150.66,0.25
0.91,0.009,136.5,810.0,600,210.0,0.35
0.91,0.01,126.5,834.07,600,234.07,0.39
0.91,0.01,136.5,900.0,600,300.0,0.5
0.91,0.011,126.5,917.47,600,317.47,0.53
0.91,0.011,136.5,990.0,600,390.0,0.65
0.91,0.012,126.5,1000.88,600,400.88,0.67
0.91,0.012,136.5,1080.0,600,480.0,0.8
0.91,0.013,126.5,1084.29,600,484.29,0.81
0.91,0.013,136.5,1170.0,600,570.0,0.95
0.91,0.014,126.5,1167.69,600,567.69,0.95
0.91,0.014,136.5,1260.0,600,660.0,1.1
0.92,0.004,126.5,330.0,600,-270.0,-0.45
0.92,0.004,136.5,356.09,600,-243.91,-0.41
0.92,0.005,126.5,412.5,600,-187.5,-0.31
0.92,0.005,136.5,445.11,600,-154.89,-0.26
0.92,0.006,126.5,495.0,600,-105.0,-0.17
0.92,0.006,136.5,534.13,600,-65.87,-0.11
0.92,0.007,126.5,577.5,600,-22.5,-0.04
0.92,0.007,136.5,623.15,600,23.15,0.04
0.92,0.008,126.5,660.0,600,60.0,0.1
0.92,0.008,136.5,712.17,600,112.17,0.19
0.92,0.009,126.5,742.5,600,142.5,0.24
0.92,0.009,136.5,801.2,600,201.2,0.34
0.92,0.01,126.5,825.0,600,225.0,0.38
0.92,0.01,136.5,890.22,600,290.22,0.48
0.92,0.011,126.5,907.5,600,307.5,0.51
0.92,0.011,136.5,979.24,600,379.24,0.63
0.92,0.012,126.5,990.0,600,390.0,0.65
0.92,0.012,136.5,1068.26,600,468.26,0.78
0.92,0.013,126.5,1072.5,600,472.5,0.79
0.92,0.013,136.5,1157.28,600,557.28,0.93
0.92,0.014,126.5,1155.0,600,555.0,0.93
0.92,0.014,136.5,1246.3,600,646.3,1.08
0.93,0.004,126.5,326.45,600,-273.55,-0.46
0.93,0.004,136.5,352.26,600,-247.74,-0.41
0.93,0.005,126.5,408.06,600,-191.94,-0.32
0.93,0.005,136.5,440.32,600,-159.68,-0.27
0.93,0.006,126.5,489.68,600,-110.32,-0.18
0.93,0.006,136.5,528.39,600,-71.61,-0.12
0.93,0.007,126.5,571.29,600,-28.71,-0.05
0.93,0.007,136.5,616.45,600,16.45,0.03
0.93,0.008,126.5,652.9,600,52.9,0.09
0.93,0.008,136.5,704.52,600,104.52,0.17
0.93,0.009,126.5,734.52,600,134.52,0.22
0.93,0.009,136.5,792.58,600,192.58,0.32
0.93,0.01,126.5,816.13,600,216.13,0.36
0.93,0.01,136.5,880.65,600,280.65,0.47
0.93,0.011,126.5,897.74,600,297.74,0.5
0.93,0.011,136.5,968.71,600,368.71,0.61
0.93,0.012,126.5,979.35,600,379.35,0.63
0.93,0.012,136.5,1056.77,600,456.77,0.76
0.93,0.013,126.5,1060.97,600,460.97,0.77
0.93,0.013,136.5,1144.84,600,544.84,0.91
0.93,0.014,126.5,1142.58,600,542.58,0.9
0.93,0.014,136.5,1232.9,600,632.9,1.05
0.94,0.004,126.5,322.98,600,-277.02,-0.46
0.94,0.004,136.5,348.51,600,-251.49,-0.42
0.94,0.005,126.5,403.72,600,-196.28,-0.33
0.94,0.005,136.5,435.64,600,-164.36,-0.27
0.94,0.006,126.5,484.47,600,-115.53,-0.19
0.94,0.006,136.5,522.77,600,-77.23,-0.13
0.94,0.007,126.5,565.21,600,-34.79,-0.06
0.94,0.007,136.5,609.89,600,9.89,0.02
0.94,0.008,126.5,645.96,600,45.96,0.08
0.94,0.008,136.5,697.02,600,97.02,0.16
0.94,0.009,126.5,726.7,600,126.7,0.21
0.94,0.009,136.5,784.15,600,184.15,0.31
0.94,0.01,126.5,807.45,600,207.45,0.35
0.94,0.01,136.5,871.28,600,271.28,0.45
0.94,0.011,126.5,888.19,600,288.19,0.48
0.94,0.011,136.5,958.4,600,358.4,0.6
0.94,0.012,126.5,968.94,600,368.94,0.61
0.94,0.012,136.5,1045.53,600,445.53,0.74
0.94,0.013,126.5,1049.68,600,449.68,0.75
0.94,0.013,136.5,1132.66,600,532.66,0.89
0.94,0.014,126.5,1130.43,600,530.43,0.88
0.94,0.014,136.5,1219.79,600,619.79,1.03
0.95,0.004,126.5,319.58,600,-280.42,-0.47
0.95,0.004,136.5,344.84,600,-255.16,-0.43
0.95,0.005,126.5,399.47,600,-200.53,-0.33
0.95,0.005,136.5,431.05,600,-168.95,-0.28
0.95,0.006,126.5,479.37,600,-120.63,-0.2
0.95,0.006,136.5,517.26,600,-82.74,-0.14
0.95,0.007,126.5,559.26,600,-40.74,-0.07
0.95,0.007,136.5,603.47,600,3.47,0.01
0.95,0.008,126.5,639.16,600,39.16,0.07
0.95,0.008,136.5,689.68,600,89.68,0.15
0.95,0.009,126.5,719.05,600,119.05,0.2
0.95,0.009,136.5,775.89,600,175.89,0.29
0.95,0.01,126.5,798.95,600,198.95,0.33
0.95,0.01,136.5,862.11,600,262.11,0.44
0.95,0.011,126.5,878.84,600,278.84,0.46
0.95,0.011,136.5,948.32,600,348.32,0.58
0.95,0.012,126.5,958.74,600,358.74,0.6
0.95,0.012,136.5,1034.53,600,434.53,0.72
0.95,0.013,126.5,1038.63,600,438.63,0.73
0.95,0.013,136.5,1120.74,600,520.74,0.87
0.95,0.014,126.5,1118.53,600,518.53,0.86
0.95,0.014,136.5,1206.95,600,606.95,1.01
0.96,0.004,126.5,316.25,600,-283.75,-0.47
0.96,0.004,136.5,341.25,600,-258.75,-0.43
0.96,0.005,126.5,395.31,600,-204.69,-0.34
0.96,0.005,136.5,426.56,600,-173.44,-0.29
0.96,0.006,126.5,474.38,600,-125.62,-0.21
0.96,0.006,136.5,511.88,600,-88.12,-0.15
0.96,0.007,126.5,553.44,600,-46.56,-0.08
0.96,0.007,136.5,597.19,600,-2.81,-0.0
0.96,0.008,126.5,632.5,600,32.5,0.05
0.96,0.008,136.5,682.5,600,82.5,0.14
0.96,0.009,126.5,711.56,600,111.56,0.19
0.96,0.009,136.5,767.81,600,167.81,0.28
0.96,0.01,126.5,790.62,600,190.62,0.32
0.96,0.01,136.5,853.12,600,253.12,0.42
0.96,0.011,126.5,869.69,600,269.69,0.45
0.96,0.011,136.5,938.44,600,338.44,0.56
0.96,0.012,126.5,948.75,600,348.75,0.58
0.96,0.012,136.5,1023.75,600,423.75,0.71
0.96,0.013,126.5,1027.81,600,427.81,0.71
0.96,0.013,136.5,1109.06,600,509.06,0.85
0.96,0.014,126.5,1106.88,600,506.88,0.84
0.96,0.014,136.5,1194.38,600,594.38,0.99
0.97,0.004,126.5,312.99,600,-287.01,-0.48
0.97,0.004,136.5,337.73,600,-262.27,-0.44
0.97,0.005,126.5,391.24,600,-208.76,-0.35
0.97,0.005,136.5,422.16,600,-177.84,-0.3
0.97,0.006,126.5,469.48,600,-130.52,-0.22
0.97,0.006,136.5,506.6,600,-93.4,-0.16
0.97,0.007,126.5,547.73,600,-52.27,-0.09
0.97,0.007,136.5,591.03,600,-8.97,-0.01
0.97,0.008,126.5,625.98,600,25.98,0.04
0.97,0.008,136.5,675.46,600,75.46,0.13
0.97,0.009,126.5,704.23,600,104.23,0.17
0.97,0.009,136.5,759.9,600,159.9,0.27
0.97,0.01,126.5,782.47,600,182.47,0.3
0.97,0.01,136.5,844.33,600,244.33,0.41
0.97,0.011,126.5,860.72,600,260.72,0.43
0.97,0.011,136.5,928.76,600,328.76,0.55
0.97,0.012,126.5,938.97,600,338.97,0.56
0.97,0.012,136.5,1013.2,600,413.2,0.69
0.97,0.013,126.5,1017.22,600,417.22,0.7
0.97,0.013,136.5,1097.63,600,497.63,0.83
0.97,0.014,126.5,1095.46,600,495.46,0.83
0.97,0.014,136.5,1182.06,600,582.06,0.97
0.98,0.004,126.5,309.8,600,-290.2,-0.48
0.98,0.004,136.5,334.29,600,-265.71,-0.44
0.98,0.005,126.5,387.24,600,-212.76,-0.35
0.98,0.005,136.5,417.86,600,-182.14,-0.3
0.98,0.006,126.5,464.69,600,-135.31,-0.23
0.98,0.006,136.5,501.43,600,-98.57,-0.16
0.98,0.007,126.5,542.14,600,-57.86,-0.1
0.98,0.007,136.5,585.0,600,-15.0,-0.03
0.98,0.008,126.5,619.59,600,19.59,0.03
0.98,0.008,136.5,668.57,600,68.57,0.11
0.98,0.009,126.5,697.04,600,97.04,0.16
0.98,0.009,136.5,752.14,600,152.14,0.25
0.98,0.01,126.5,774.49,600,174.49,0.29
0.98,0.01,136.5,835.71,600,235.71,0.39
0.98,0.011,126.5,851.94,600,251.94,0.42
0.98,0.011,136.5,919.29,600,319.29,0.53
0.98,0.012,126.5,929.39,600,329.39,0.55
0.98,0.012,136.5,1002.86,600,402.86,0.67
0.98,0.013,126.5,1006.84,600,406.84,0.68
0.98,0.013,136.5,1086.43,600,486.43,0.81
0.98,0.014,126.5,1084.29,600,484.29,0.81
0.98,0.014,136.5,1170.0,600,570.0,0.95
0.99,0.004,126.5,306.67,600,-293.33,-0.49
0.99,0.004,136.5,330.91,600,-269.09,-0.45
0.99,0.005,126.5,383.33,600,-216.67,-0.36
0.99,0.005,136.5,413.64,600,-186.36,-0.31
0.99,0.006,126.5,460.0,600,-140.0,-0.23
0.99,0.006,136.5,496.36,600,-103.64,-0.17
0.99,0.007,126.5,536.67,600,-63.33,-0.11
0.99,0.007,136.5,579.09,600,-20.91,-0.03
0.99,0.008,126.5,613.33,600,13.33,0.02
0.99,0.008,136.5,661.82,600,61.82,0.1
0.99,0.009,126.5,690.0,600,90.0,0.15
0.99,0.009,136.5,744.55,600,144.55,0.24
0.99,0.01,126.5,766.67,600,166.67,0.28
0.99,0.01,136.5,827.27,600,227.27,0.38
0.99,0.011,126.5,843.33,600,243.33,0.41
0.99,0.011,136.5,910.0,600,310.0,0.52
0.99,0.012,126.5,920.0,600,320.0,0.53
0.99,0.012,136.5,992.73,600,392.73,0.65
0.99,0.013,126.5,996.67,600,396.67,0.66
0.99,0.013,136.5,1075.45,600,475.45,0.79
0.99,0.014,126.5,1073.33,600,473.33,0.79
0.99,0.014,136.5,1158.18,600,558.18,0.93
1.0,0.004,126.5,303.6,600,-296.4,-0.49
1.0,0.004,136.5,327.6,600,-272.4,-0.45
1.0,0.005,126.5,379.5,600,-220.5,-0.37
1.0,0.005,136.5,409.5,600,-190.5,-0.32
1.0,0.006,126.5,455.4,600,-144.6,-0.24
1.0,0.006,136.5,491.4,600,-108.6,-0.18
1.0,0.007,126.5,531.3,600,-68.7,-0.11
1.0,0.007,136.5,573.3,600,-26.7,-0.04
1.0,0.008,126.5,607.2,600,7.2,0.01
1.0,0.008,136.5,655.2,600,55.2,0.09
1.0,0.009,126.5,683.1,600,83.1,0.14
1.0,0.009,136.5,737.1,600,137.1,0.23
1.0,0.01,126.5,759.0,600,159.0,0.27
1.0,0.01,136.5,819.0,600,219.0,0.36
